000001,平安银行,881155,银行
000002,万科Ａ,881153,房地产开发
000004,国农科技,881142,生物制品
000005,世纪星源,881153,房地产开发
000006,深振业Ａ,881153,房地产开发
000007,全新好,881161,酒店及餐饮
000008,神州高铁,881127,非汽车交运
000009,中国宝安,881165,综合
000010,美丽生态,881116,建筑装饰
000011,深物业A,881153,房地产开发
000012,南玻Ａ,881115,建筑材料
000014,沙河股份,881153,房地产开发
000016,深康佳Ａ,881132,视听器材
000017,深中华A,881127,非汽车交运
000018,神州长城,881116,建筑装饰
000019,深深宝Ａ,881133,饮料制造
000020,深华发Ａ,881124,电子制造
000021,深科技,881130,计算机设备
000022,深赤湾Ａ,881148,港口航运
000023,深天地Ａ,881115,建筑材料
000025,特力Ａ,881128,交运设备服务
000026,飞亚达Ａ,881139,家用轻工
000027,深圳能源,881145,电力
000028,国药一致,881143,医药商业
000029,深深房Ａ,881153,房地产开发
000030,富奥股份,881126,汽车零部件
000031,中粮地产,881153,房地产开发
000032,深桑达Ａ,881129,通信设备
000034,神州数码,881159,贸易
000035,中国天楹,881147,环保工程
000036,华联控股,881153,房地产开发
000037,深南电A,881145,电力
000038,深大通,881164,传媒
000039,中集集团,881117,通用设备
000040,东旭蓝天,881153,房地产开发
000042,中洲控股,881153,房地产开发
000043,中航地产,881153,房地产开发
000045,深纺织Ａ,881122,光学光电子
000046,泛海控股,881153,房地产开发
000048,康达尔,881103,农产品加工
000049,德赛电池,881124,电子制造
000050,深天马Ａ,881122,光学光电子
000055,方大集团,881116,建筑装饰
000056,皇庭国际,881153,房地产开发
000058,深赛格,881158,零售
000059,华锦股份,881108,基础化学
000060,中金岭南,881113,有色冶炼加工
000061,农产品,881158,零售
000062,深圳华强,881158,零售
000063,中兴通讯,881129,通信设备
000065,北方国际,881116,建筑装饰
000066,中国长城,881130,计算机设备
000068,华控赛格,881165,综合
000069,华侨城Ａ,881153,房地产开发
000070,特发信息,881129,通信设备
000078,海王生物,881142,生物制品
000088,盐田港,881148,港口航运
